Supersection_Name,Community,site,cond_prop_group,rest,descr,siteclass
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Cove Forests,high,141.060300052166,"c.fortypcd in (104, 105, 506, 511, 512, 519) and c.siteclcd <= 4","Allegheny & North Cumberland Mountains Cove Forests, site class 1-4",1-4
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Cove Forests,low,203.218200094998,"c.fortypcd in (104, 105, 506, 511, 512, 519) and c.siteclcd > 4","Allegheny & North Cumberland Mountains Cove Forests, site class 5-7",5-7
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Mixed Hardwoods,high,54.5716998800635,"c.fortypcd in (507, 508, 513, 517, 520, 601, 602, 608, 700, 701, 702, 703, 704, 705, 706, 708, 991) and c.siteclcd <= 4","Allegheny & North Cumberland Mountains Mixed Hardwoods, site class 1-4",1-4
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Mixed Hardwoods,low,178.911100041121,"c.fortypcd in (507, 508, 513, 517, 520, 601, 602, 608, 700, 701, 702, 703, 704, 705, 706, 708, 991) and c.siteclcd > 4","Allegheny & North Cumberland Mountains Mixed Hardwoods, site class 5-7",5-7
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Mixed Pine-Hardwood,all,110.909399978817,"c.fortypcd in (171, 184, 400, 401, 402, 404, 405, 406, 409, 999)","Allegheny & North Cumberland Mountains Mixed Pine-Hardwood, site class 1-7",1-7
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Northern Conifer,all,32.7468999922276,"c.fortypcd in (100, 102, 103, 121, 122, 123, 125, 126, 201, 381, 383, 384, 385, 900, 901, 903)","Allegheny & North Cumberland Mountains Northern Conifer, site class 1-7",1-7
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Northern Hardwoods,high,109.370200023055,"c.fortypcd in (516, 707, 800, 801, 802, 805, 809) and c.siteclcd <= 4","Allegheny & North Cumberland Mountains Northern Hardwoods, site class 1-4",1-4
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Northern Hardwoods,low,320.418199893087,"c.fortypcd in (516, 707, 800, 801, 802, 805, 809) and c.siteclcd > 4","Allegheny & North Cumberland Mountains Northern Hardwoods, site class 5-7",5-7
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Oak-Hickory,high,141.989700004458,"c.fortypcd in (500, 501, 502, 503, 504, 505, 510, 514, 515) and c.siteclcd <= 4","Allegheny & North Cumberland Mountains Oak-Hickory, site class 1-4",1-4
Allegheny & North Cumberland Mountains,Allegheny & North Cumberland Mountains Oak-Hickory,low,906.543799856212,"c.fortypcd in (500, 501, 502, 503, 504, 505, 510, 514, 515) and c.siteclcd > 4","Allegheny & North Cumberland Mountains Oak-Hickory, site class 5-7",5-7
